# g E0 dE/E VOP ZXZ X
5.000000000000000000e-01 -1.063544328887695567e+00 7.624098780939630224e-08 1.361348008781898241e-04 9.342158206409034715e-01 2.586570165399968424e-01
5.166666666666667185e-01 -1.067932679754428404e+00 1.018092659763386581e-07 1.571373274078582407e-04 9.294871724353668263e-01 2.679590466415051608e-01
5.333333333333333259e-01 -1.072476735074156418e+00 1.156477519291415693e-07 1.190235391927447085e-03 9.245622838947267219e-01 2.773395960580058994e-01
5.500000000000000444e-01 -1.077177827726414794e+00 1.422606285903209842e-07 2.076287949839437312e-04 9.194353541543406338e-01 2.868044975313441269e-01
5.666666666666666519e-01 -1.082037427454159983e+00 1.591703955030121225e-07 1.377006428573765949e-03 9.141005669139052880e-01 2.963591658339505552e-01
5.833333333333333703e-01 -1.087057036309602376e+00 2.002962078656114954e-07 1.173639218118192103e-03 9.085519343991133034e-01 3.060087462726497898e-01
5.999999999999999778e-01 -1.092238289573469023e+00 2.691545900447536992e-07 7.761920106524747634e-04 9.027830601752691031e-01 3.157587160213797262e-01
6.166666666666666963e-01 -1.097582978531365328e+00 3.265765841423691387e-07 3.449206602392004134e-04 8.967844960842515922e-01 3.256191609905076945e-01
6.333333333333333037e-01 -1.103092908691613694e+00 4.291036109508609392e-07 5.361060149594746920e-04 8.905511136920822857e-01 3.355923081761883475e-01
6.500000000000000222e-01 -1.108770286345204692e+00 3.879672918816847137e-07 4.685795318179681365e-04 8.840686812343345746e-01 3.456947776252358717e-01
6.666666666666666297e-01 -1.114617085610702718e+00 3.547525804036573747e-07 2.657391599239572943e-04 8.773316695217724392e-01 3.559281242247435140e-01
6.833333333333333481e-01 -1.120635479046341310e+00 4.414471171367918470e-07 3.598764234250990957e-04 8.703292722188751274e-01 3.663017663372604149e-01
6.999999999999999556e-01 -1.126828427089501261e+00 2.134286059922331298e-07 4.911262756437058180e-04 8.630429433160926589e-01 3.768364056904524029e-01
7.166666666666666741e-01 -1.133198087777738783e+00 1.257495363357333493e-07 1.086893215494598094e-03 8.554649662084387041e-01 3.875345883114451051e-01
7.333333333333333925e-01 -1.139747435552291632e+00 9.877913110371879995e-08 2.127400870465686288e-04 8.475794211903093789e-01 3.984109290230108957e-01
7.500000000000000000e-01 -1.146479623804668613e+00 1.138843411724695354e-07 2.170393073445427536e-04 8.393664295597682568e-01 4.094842591772527296e-01
7.666666666666666075e-01 -1.153398104118208867e+00 1.378870865933141707e-07 2.076145560883986375e-05 8.308065346229881465e-01 4.207716130322521342e-01
7.833333333333333259e-01 -1.160506614014403803e+00 1.698427527490957367e-07 2.440312765601947164e-04 8.218786407518797743e-01 4.322910296968289212e-01
8.000000000000000444e-01 -1.167809278488824987e+00 1.969771574127804283e-07 8.522779736325940955e-06 8.125527319146618188e-01 4.440706833176975010e-01
8.166666666666666519e-01 -1.175310597933166834e+00 2.597791762150490024e-07 3.684907021616952991e-06 8.027988097394737066e-01 4.561368835724151638e-01
8.333333333333332593e-01 -1.183015626878738846e+00 3.681576827855122476e-07 1.574758808607974899e-04 7.925800074113570348e-01 4.685227433608601388e-01
8.499999999999999778e-01 -1.190930042362343011e+00 5.338781599956920526e-07 7.977921505776807169e-05 7.818497694792380104e-01 4.812709092742425976e-01
8.666666666666666963e-01 -1.199060326882992022e+00 7.353851167660891959e-07 1.532583317383767339e-04 7.705532327371992229e-01 4.944312627032316776e-01
8.833333333333333037e-01 -1.207413748461945158e+00 1.095192417807296125e-06 4.521378837755280454e-04 7.586237672240503382e-01 5.080641297032804093e-01
9.000000000000000222e-01 -1.215998905239080052e+00 1.652030537395864811e-06 4.799814719913325580e-04 7.459804380787655731e-01 5.222427412892337584e-01
9.166666666666667407e-01 -1.224825930893967074e+00 2.527643382957847919e-06 7.733437464207385979e-04 7.324761891507002298e-01 5.371088092294283856e-01
9.333333333333333481e-01 -1.233907308694124128e+00 3.782748888845097163e-06 9.048940885043369430e-04 7.179818821147878616e-01 5.527772427635833097e-01
9.499999999999999556e-01 -1.243257927997699408e+00 6.254715051694214738e-06 2.469211963832660620e-03 7.022553523588453972e-01 5.694763954093207126e-01
9.666666666666666741e-01 -1.252898088503526575e+00 1.082131843846159592e-05 4.772096530994943304e-03 6.848972998789664146e-01 5.875870227150674641e-01

9.694444443799999922e-01 -1.254534689510736323e+00 1.197729798970988549e-05 5.865134556957729214e-03 6.818129416394257403e-01 5.907731497059457437e-01
9.722222221599999825e-01 -1.256180270903377139e+00 1.326055262139711754e-05 5.683175772481850567e-03 6.786552209581607764e-01 5.940257656959548882e-01
9.749999999399999728e-01 -1.257834936023804806e+00 1.475425823915311746e-05 7.020469042528991281e-03 6.754305798538694505e-01 5.973378012366908907e-01
9.777777777199999631e-01 -1.259498882200117409e+00 1.648556176832893973e-05 8.304187541877271553e-03 6.721337969035401372e-01 6.007142918160907064e-01
9.805555555000000645e-01 -1.261172333582310623e+00 1.848376941058637948e-05 9.800999313939670610e-03 6.687458725913389967e-01 6.041742945292718492e-01
9.833333332800000548e-01 -1.262855815837549356e+00 2.056926173710825690e-05 9.729230456380263611e-03 6.652387053852966137e-01 6.077462140522102985e-01
9.861111110600000451e-01 -1.264549046487283945e+00 2.324188712871609190e-05 1.142135908186500334e-02 6.616534539073489762e-01 6.113870798310631072e-01
9.888888888400000354e-01 -1.266252523769683558e+00 2.643649094203960094e-05 1.389673929242452206e-02 6.579539861021705960e-01 6.151333527278978197e-01
9.916666666200000257e-01 -1.267966949927936460e+00 3.000665366986265706e-05 1.543029701598831738e-02 6.529129554540188396e-01 6.202225154650921057e-01
