# hx c1 c2 c3 c4
0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.713906794265085409e-15 5.747717293535018184e-16
5.000000074505805969e-02 9.836813211441040039e-01 1.007729768753051758e+00 8.588600903749465942e-03 2.576580038294196129e-03
1.000000014901161194e-01 9.672756791114807129e-01 1.015220284461975098e+00 1.691142655909061432e-02 5.073427688330411911e-03
1.500000059604644775e-01 9.508421421051025391e-01 1.022538065910339355e+00 2.504227496683597565e-02 7.512682583183050156e-03
2.000000029802322388e-01 9.343732595443725586e-01 1.029689669609069824e+00 3.298850357532501221e-02 9.896551258862018585e-03
2.500000000000000000e-01 9.178611636161804199e-01 1.036681056022644043e+00 4.075672477483749390e-02 1.222701743245124817e-02
3.000000119209289551e-01 9.012089967727661133e-01 1.043425202369689941e+00 4.825023934245109558e-02 1.447507180273532867e-02
3.499999940395355225e-01 8.845009207725524902e-01 1.050019979476928711e+00 5.557778850197792053e-02 1.667333580553531647e-02
4.000000059604644775e-01 8.677270412445068359e-01 1.056469798088073730e+00 6.274426728487014771e-02 1.882327906787395477e-02
4.499999880790710449e-01 8.507677912712097168e-01 1.062655091285705566e+00 6.961681693792343140e-02 2.088504098355770111e-02
5.000000000000000000e-01 8.337287306785583496e-01 1.068705201148986816e+00 7.633912563323974609e-02 2.290173806250095367e-02
5.500000119209289551e-01 8.165983557701110840e-01 1.074623942375183105e+00 8.291551470756530762e-02 2.487465739250183105e-02
6.000000238418579102e-01 7.991846203804016113e-01 1.080194592475891113e+00 8.910506963729858398e-02 2.673152089118957520e-02
6.499999761581420898e-01 7.816632390022277832e-01 1.085639834403991699e+00 9.515535086393356323e-02 2.854660339653491974e-02
6.999999880790710449e-01 7.637411952018737793e-01 1.090601444244384766e+00 1.006682440638542175e-01 3.020047396421432495e-02
7.500000000000000000e-01 7.456960082054138184e-01 1.095441341400146484e+00 1.060459539294242859e-01 3.181378915905952454e-02
8.000000119209289551e-01 7.268845438957214355e-01 1.099301099777221680e+00 1.103345006704330444e-01 3.310035541653633118e-02
8.000000119209289551e-01 7.268845438957214355e-01 1.099300980567932129e+00 1.103345230221748352e-01 3.310034424066543579e-02
8.016666769981384277e-01 7.262538671493530273e-01 1.099425315856933594e+00 1.104727238416671753e-01 3.314179182052612305e-02
8.033333420753479004e-01 7.256230711936950684e-01 1.099549651145935059e+00 1.106106936931610107e-01 3.318320959806442261e-02
8.050000071525573730e-01 7.249920964241027832e-01 1.099673748016357422e+00 1.107485592365264893e-01 3.322456777095794678e-02
8.066666722297668457e-01 7.243610024452209473e-01 1.099797606468200684e+00 1.108863353729248047e-01 3.326585888862609863e-02
8.083333373069763184e-01 7.237297892570495605e-01 1.099921464920043945e+00 1.110238134860992432e-01 3.330714628100395203e-02
8.100000023841857910e-01 7.230983972549438477e-01 1.100045084953308105e+00 1.111612319946289062e-01 3.334835916757583618e-02
8.116666674613952637e-01 7.224668860435485840e-01 1.100168585777282715e+00 1.112984642386436462e-01 3.338953107595443726e-02
8.133333325386047363e-01 7.218351960182189941e-01 1.100291967391967773e+00 1.114355474710464478e-01 3.343065828084945679e-02
8.149999976158142090e-01 7.212033867835998535e-01 1.100415229797363281e+00 1.115724891424179077e-01 3.347173333168029785e-02
8.166666626930236816e-01 7.205713987350463867e-01 1.100538253784179688e+00 1.117092519998550415e-01 3.351276740431785583e-02
8.183333277702331543e-01 7.199393510818481445e-01 1.100661277770996094e+00 1.118458732962608337e-01 3.355375304818153381e-02
8.199999928474426270e-01 7.193070650100708008e-01 1.100784063339233398e+00 1.119823679327964783e-01 3.359468281269073486e-02
8.216666579246520996e-01 7.186746597290039062e-01 1.100906729698181152e+00 1.121187061071395874e-01 3.363556414842605591e-02
8.233333230018615723e-01 7.180421352386474609e-01 1.101029157638549805e+00 1.122548878192901611e-01 3.367640078067779541e-02
8.249999880790710449e-01 7.174094319343566895e-01 1.101151466369628906e+00 1.123910099267959595e-01 3.371715918183326721e-02
8.266666531562805176e-01 7.167766094207763672e-01 1.101273417472839355e+00 1.125271841883659363e-01 3.375780582427978516e-02
8.283333182334899902e-01 7.161435484886169434e-01 1.101394772529602051e+00 1.126636862754821777e-01 3.379824385046958923e-02
8.299999833106994629e-01 7.149011492729187012e-01 1.082086682319641113e+00 1.325058639049530029e-01 2.736222557723522186e-02
8.316666483879089355e-01 7.158465981483459473e-01 1.065833687782287598e+00 1.484134495258331299e-01 2.194456383585929871e-02
8.333333134651184082e-01 7.159979939460754395e-01 1.057579755783081055e+00 1.566100418567657471e-01 1.919324323534965515e-02
8.349999785423278809e-01 7.161743044853210449e-01 1.050629019737243652e+00 1.634874045848846436e-01 1.687635667622089386e-02
8.366666436195373535e-01 7.163610458374023438e-01 1.044504046440124512e+00 1.695292592048645020e-01 1.483467686921358109e-02
8.383333086967468262e-01 7.165513634681701660e-01 1.038962602615356445e+00 1.749809682369232178e-01 1.298751775175333023e-02
8.399999737739562988e-01 7.167413830757141113e-01 1.033861875534057617e+00 1.799872219562530518e-01 1.128728501498699188e-02
8.416666388511657715e-01 7.169287204742431641e-01 1.029109358787536621e+00 1.846417784690856934e-01 9.703109040856361389e-03
8.433333039283752441e-01 7.171119451522827148e-01 1.024641036987304688e+00 1.890096962451934814e-01 8.213676512241363525e-03
8.450000286102294922e-01 7.172905802726745605e-01 1.020411014556884766e+00 1.931388229131698608e-01 6.803674157708883286e-03
8.466666936874389648e-01 7.174636125564575195e-01 1.016383767127990723e+00 1.970639377832412720e-01 5.461239721626043320e-03
8.483333587646484375e-01 7.176305651664733887e-01 1.012531995773315430e+00 2.008125633001327515e-01 4.177329596132040024e-03
8.500000238418579102e-01 7.177912592887878418e-01 1.008834242820739746e+00 2.044065296649932861e-01 2.944763517007231712e-03
8.500000238418579102e-01 7.177912592887878418e-01 1.008834242820739746e+00 2.044065296649932861e-01 2.944763517007231712e-03
9.218750000000000000e-01 7.208976745605468750e-01 9.078854322433471680e-01 3.050466477870941162e-01 -3.070485033094882965e-02
9.937499761581420898e-01 7.176976799964904785e-01 8.439277410507202148e-01 3.680856823921203613e-01 -5.202409252524375916e-02
1.065624952316284180e+00 7.111099362373352051e-01 7.934932112693786621e-01 4.157830178737640381e-01 -6.883559376001358032e-02
1.137500047683715820e+00 7.028844356536865234e-01 7.513204216957092285e-01 4.544802010059356689e-01 -8.289320021867752075e-02
1.209375023841857910e+00 6.938821077346801758e-01 7.150177359580993652e-01 4.871047735214233398e-01 -9.499408304691314697e-02
1.281250000000000000e+00 6.836243271827697754e-01 6.823994517326354980e-01 5.132290124893188477e-01 -1.058668419718742371e-01
1.353124976158142090e+00 6.723432540893554688e-01 6.526168584823608398e-01 5.336409211158752441e-01 -1.157943829894065857e-01
1.424999952316284180e+00 6.606743335723876953e-01 6.254776716232299805e-01 5.500018596649169922e-01 -1.248407661914825439e-01
1.496875047683715820e+00 6.490988731384277344e-01 6.008245944976806641e-01 5.636834502220153809e-01 -1.330584734678268433e-01
1.568750023841857910e+00 6.377659440040588379e-01 5.783524513244628906e-01 5.752992630004882812e-01 -1.405491977930068970e-01
1.640625000000000000e+00 6.266941428184509277e-01 5.577494502067565918e-01 5.851250886917114258e-01 -1.474168449640274048e-01
