# hx c1 c2 c3 c4 c5 c6 c7 c8
7.500000000000000000e-01 5.278999209403991699e-01 8.379400968551635742e-01 1.493898183107376099e-01 9.343490600585937500e-01 7.745391130447387695e-01 6.166093945503234863e-01 4.093251526355743408e-01 1.223861202597618103e-01
7.757142782211303711e-01 5.031591057777404785e-01 8.441833257675170898e-01 1.563267260789871216e-01 9.364301562309265137e-01 7.707821726799011230e-01 6.128935217857360840e-01 4.166065752506256104e-01 1.352958530187606812e-01
8.014285564422607422e-01 4.775582253932952881e-01 8.506772518157958984e-01 1.635421663522720337e-01 9.385948181152343750e-01 7.672709226608276367e-01 6.097962856292724609e-01 4.237385690212249756e-01 1.493252217769622803e-01
8.271428346633911133e-01 4.505319595336914062e-01 8.569054007530212402e-01 1.704623699188232422e-01 9.406708478927612305e-01 7.635683417320251465e-01 6.067002415657043457e-01 4.300373792648315430e-01 1.650806069374084473e-01
8.528571724891662598e-01 4.223482906818389893e-01 8.633430600166320801e-01 1.776152849197387695e-01 9.428167343139648438e-01 7.600122094154357910e-01 6.041363477706909180e-01 4.360207021236419678e-01 1.824531555175781250e-01
8.785714507102966309e-01 3.929192125797271729e-01 8.700396418571472168e-01 1.850559413433074951e-01 9.450489282608032227e-01 7.567645907402038574e-01 6.023823618888854980e-01 4.419662654399871826e-01 2.015289366245269775e-01
9.042857289314270020e-01 3.620024919509887695e-01 8.770689368247985840e-01 1.928663104772567749e-01 9.473920464515686035e-01 7.538110017776489258e-01 6.014722585678100586e-01 4.478666186332702637e-01 2.226638048887252808e-01
9.300000071525573730e-01 3.291507661342620850e-01 8.843148350715637207e-01 2.009172737598419189e-01 9.498073458671569824e-01 7.510433197021484375e-01 6.013274788856506348e-01 4.535350799560546875e-01 2.464728802442550659e-01
9.300000071525573730e-01 3.291507661342620850e-01 8.843148350715637207e-01 2.009172737598419189e-01 9.498073458671569824e-01 7.510433197021484375e-01 6.013274788856506348e-01 4.535350799560546875e-01 2.464728802442550659e-01
9.323333501815795898e-01 3.260771632194519043e-01 8.850157856941223145e-01 2.016961276531219482e-01 9.500409960746765137e-01 7.508237957954406738e-01 6.013885140419006348e-01 4.540776014328002930e-01 2.487602233886718750e-01
9.346666932106018066e-01 3.229832649230957031e-01 8.857190012931823730e-01 2.024774849414825439e-01 9.502753615379333496e-01 7.506065368652343750e-01 6.014580130577087402e-01 4.546196162700653076e-01 2.510747313499450684e-01
9.369999766349792480e-01 3.198668062686920166e-01 8.864228725433349609e-01 2.032595127820968628e-01 9.505100250244140625e-01 7.503884434700012207e-01 6.015314459800720215e-01 4.551553726196289062e-01 2.534211277961730957e-01
9.393333196640014648e-01 3.167278468608856201e-01 8.871240615844726562e-01 2.040386497974395752e-01 9.507437348365783691e-01 7.501732110977172852e-01 6.016144752502441406e-01 4.556916356086730957e-01 2.557953596115112305e-01
9.416666626930236816e-01 3.135628700256347656e-01 8.878195285797119141e-01 2.048114091157913208e-01 9.509755969047546387e-01 7.499555349349975586e-01 6.016992330551147461e-01 4.562186002731323242e-01 2.582050263881683350e-01
9.440000057220458984e-01 3.103679716587066650e-01 8.885033130645751953e-01 2.055711299180984497e-01 9.512034654617309570e-01 7.497308850288391113e-01 6.017794013023376465e-01 4.567281305789947510e-01 2.606565952301025391e-01
9.463333487510681152e-01 3.071482479572296143e-01 8.891853690147399902e-01 2.063290178775787354e-01 9.514308571815490723e-01 7.495061159133911133e-01 6.018651127815246582e-01 4.572325050830841064e-01 2.631422877311706543e-01
9.486666917800903320e-01 3.039061725139617920e-01 8.898714780807495117e-01 2.070912718772888184e-01 9.516595602035522461e-01 7.492849230766296387e-01 6.019618511199951172e-01 4.577384293079376221e-01 2.656581401824951172e-01
9.509999752044677734e-01 3.006411790847778320e-01 8.905617594718933105e-01 2.078583240509033203e-01 9.518896341323852539e-01 7.490674257278442383e-01 6.020700335502624512e-01 4.582461416721343994e-01 2.682049274444580078e-01
9.533333182334899902e-01 2.973525822162628174e-01 8.912563323974609375e-01 2.086300998926162720e-01 9.521211981773376465e-01 7.488537430763244629e-01 6.021897196769714355e-01 4.587556421756744385e-01 2.707834541797637939e-01
9.556666612625122070e-01 2.940394580364227295e-01 8.919548988342285156e-01 2.094062715768814087e-01 9.523540139198303223e-01 7.486435174942016602e-01 6.023208498954772949e-01 4.592665433883666992e-01 2.733949422836303711e-01
9.580000042915344238e-01 2.906991839408874512e-01 8.926531076431274414e-01 2.101820409297943115e-01 9.525867700576782227e-01 7.484349012374877930e-01 6.024606227874755859e-01 4.597752094268798828e-01 2.760429084300994873e-01
9.603333473205566406e-01 2.873325347900390625e-01 8.933544754981994629e-01 2.109612971544265747e-01 9.528205394744873047e-01 7.482296228408813477e-01 6.026120185852050781e-01 4.602849483489990234e-01 2.787260115146636963e-01
9.626666903495788574e-01 2.839384675025939941e-01 8.940590620040893555e-01 2.117441892623901367e-01 9.530553817749023438e-01 7.480269670486450195e-01 6.027739644050598145e-01 4.607943296432495117e-01 2.814463376998901367e-01
9.649999737739562988e-01 2.805116772651672363e-01 8.947561383247375488e-01 2.125186026096343994e-01 9.532877802848815918e-01 7.478224039077758789e-01 6.029400825500488281e-01 4.612949788570404053e-01 2.842109203338623047e-01
9.673333168029785156e-01 2.770570516586303711e-01 8.954589366912841797e-01 2.132995873689651489e-01 9.535220265388488770e-01 7.476223707199096680e-01 6.031198501586914062e-01 4.617985486984252930e-01 2.870126664638519287e-01
9.696666598320007324e-01 2.735716402530670166e-01 8.961637616157531738e-01 2.140828520059585571e-01 9.537569880485534668e-01 7.474239468574523926e-01 6.033094525337219238e-01 4.622998833656311035e-01 2.898564338684082031e-01
9.720000028610229492e-01 2.776601910591125488e-01 8.808801174163818359e-01 2.259706258773803711e-01 9.486624002456665039e-01 7.432627677917480469e-01 5.960980057716369629e-01 4.578753113746643066e-01 2.860505282878875732e-01
9.743333458900451660e-01 2.856421768665313721e-01 8.696222901344299316e-01 2.318375706672668457e-01 9.449098110198974609e-01 7.388928532600402832e-01 5.879889726638793945e-01 4.540874063968658447e-01 2.776533663272857666e-01
9.766666889190673828e-01 2.924258410930633545e-01 8.610628843307495117e-01 2.357840090990066528e-01 9.420566558837890625e-01 7.351919412612915039e-01 5.811774730682373047e-01 4.511321783065795898e-01 2.704545259475708008e-01
9.789999723434448242e-01 2.983639538288116455e-01 8.537790179252624512e-01 2.390141487121582031e-01 9.396287202835083008e-01 7.318783998489379883e-01 5.751484632492065430e-01 4.486111700534820557e-01 2.641649544239044189e-01
9.813333153724670410e-01 3.036612570285797119e-01 8.472780585289001465e-01 2.418455034494400024e-01 9.374617338180541992e-01 7.288230657577514648e-01 5.696561932563781738e-01 4.463554024696350098e-01 2.585814893245697021e-01
9.836666584014892578e-01 3.084554076194763184e-01 8.413246273994445801e-01 2.444189190864562988e-01 9.354772567749023438e-01 7.259624004364013672e-01 5.645719766616821289e-01 4.442915916442871094e-01 2.535533308982849121e-01
9.860000014305114746e-01 3.128438293933868408e-01 8.357896208763122559e-01 2.468169331550598145e-01 9.336322546005249023e-01 7.232574820518493652e-01 5.598147511482238770e-01 4.423779845237731934e-01 2.489729970693588257e-01
9.883333444595336914e-01 3.168960511684417725e-01 8.305882811546325684e-01 2.490864247083663940e-01 9.318984746932983398e-01 7.206815481185913086e-01 5.553282499313354492e-01 4.405871033668518066e-01 2.447623014450073242e-01
9.906666874885559082e-01 3.206630051136016846e-01 8.256602287292480469e-01 2.512555420398712158e-01 9.302557706832885742e-01 7.182141542434692383e-01 5.510697364807128906e-01 4.388972222805023193e-01 2.408639639616012573e-01
9.929999709129333496e-01 3.242050409317016602e-01 8.209859132766723633e-01 2.533743083477020264e-01 9.286977052688598633e-01 7.158687710762023926e-01 5.470474362373352051e-01 4.373461902141571045e-01 2.371987998485565186e-01
9.953333139419555664e-01 3.275318443775177002e-01 8.165063858032226562e-01 2.554233372211456299e-01 9.272044897079467773e-01 7.136038541793823242e-01 5.431943535804748535e-01 4.358668923377990723e-01 2.337678074836730957e-01
9.976666569709777832e-01 3.306685090065002441e-01 8.121962547302246094e-01 2.574129998683929443e-01 9.257677793502807617e-01 7.114099860191345215e-01 5.394905209541320801e-01 4.344500601291656494e-01 2.305424660444259644e-01
1.000000000000000000e+00 3.336333632469177246e-01 8.080329895019531250e-01 2.593476474285125732e-01 9.243800640106201172e-01 7.092767953872680664e-01 5.359160900115966797e-01 4.330831468105316162e-01 2.275025993585586548e-01
1.000000000000000000e+00 3.336333632469177246e-01 8.080329895019531250e-01 2.593476474285125732e-01 9.243800640106201172e-01 7.092767953872680664e-01 5.359160900115966797e-01 4.330831468105316162e-01 2.275025993585586548e-01
1.016666650772094727e+00 3.512069582939147949e-01 7.816979885101318359e-01 2.723262012004852295e-01 9.156017303466796875e-01 6.955240964889526367e-01 5.134245753288269043e-01 4.246520400047302246e-01 2.096125781536102295e-01
1.033333301544189453e+00 3.645379543304443359e-01 7.593552470207214355e-01 2.843075394630432129e-01 9.081541299819946289e-01 6.836354732513427734e-01 4.946695864200592041e-01 4.178869724273681641e-01 1.960728913545608521e-01
1.049999952316284180e+00 3.750977814197540283e-01 7.394858598709106445e-01 2.954724133014678955e-01 9.015309810638427734e-01 6.729224324226379395e-01 4.782712459564208984e-01 4.120554327964782715e-01 1.852662563323974609e-01
