# hx XI XX VOP
7.500000000000000000e-01 4.987075757911796359e-08 -5.642556785806942532e-01 1.060470091686742396e-07
7.757142782211303711e-01 1.470756361143799040e-08 1.679220571494470793e-01 3.572352335312695007e-08
8.014285564422607422e-01 -7.331093621054662890e-09 7.968092295335210684e-02 6.010664991081813546e-08
8.271428346633911133e-01 -2.553512956637860043e-14 2.174666076120472247e-01 0.000000000000000000e+00
8.528571724891662598e-01 2.975532353843846067e-07 -1.466160560748764885e-01 1.468751562641953798e-07
8.785714507102966309e-01 2.318841085813261316e-08 -2.795340876586660528e-01 8.637626777702656859e-08
9.042857289314270020e-01 2.886579864025407005e-15 -1.329311837910500949e-01 0.000000000000000000e+00
9.300000071525573730e-01 9.942195844381274128e-08 7.847941827966333772e-01 1.128043917941294244e-07
9.300000071525573730e-01 -2.880817204786723096e-07 3.660664355778830981e-01 2.381426056376040909e-07
9.323333501815795898e-01 1.333462534280904777e-07 3.565471151761417934e-01 1.254214053233819942e-07
9.346666932106018066e-01 -1.258605100140641753e-07 -1.504408167524889262e+00 1.129489760990627730e-07
9.369999766349792480e-01 -4.131706660137623999e-08 3.142887390515154422e-01 1.130174607014159000e-07
9.393333196640014648e-01 -7.794387146820014323e-08 1.890392078995198344e-01 7.539092436115460479e-08
9.416666626930236816e-01 6.106226635438360972e-16 3.638110423017509865e-01 0.000000000000000000e+00
9.440000057220458984e-01 -3.796447900494825944e-08 -4.073555154031943681e-01 6.290264133360262816e-08
9.463333487510681152e-01 1.640393798574280027e-08 7.448767198047443472e-01 3.776508169553193653e-08
9.486666917800903320e-01 4.201998116126759442e-07 3.714919190980046082e-01 5.038445735873177389e-08
9.509999752044677734e-01 2.816583521969562298e-08 2.242412987725111995e-01 8.822702027329112353e-08
9.533333182334899902e-01 -3.865751418974383569e-08 -6.709651606689177594e-01 7.566995850181549300e-08
9.556666612625122070e-01 -1.423105744358110769e-08 4.294412148815328067e-01 1.261943429223589733e-08
9.580000042915344238e-01 -2.877062449391232235e-07 4.240002608253460870e-01 2.146615242270786943e-07
9.603333473205566406e-01 8.581855781564229346e-09 3.632670451480642271e+00 5.053930270328723130e-08
9.626666903495788574e-01 1.145242312650118777e-07 2.711355574988539852e-01 7.585538012931807052e-08
9.649999737739562988e-01 -1.975518279739851835e-06 4.426678633558537301e-01 1.366228324130721940e-06
9.673333168029785156e-01 -2.329459305450143347e-07 4.036015234332505641e-01 1.645396341044289042e-07
9.696666598320007324e-01 2.851739787090856737e-06 4.551070784214600318e-01 1.874162484949383385e-06
9.720000028610229492e-01 2.438979904790836151e-01 4.672307498302911144e-01 1.701251822091809363e-01
9.743333458900451660e-01 3.634891382933842507e-01 4.802782327145985741e-01 2.784000287732780743e-01
9.766666889190673828e-01 4.323994751160740169e-01 4.913850333284147665e-01 3.576980534896405106e-01
9.789999723434448242e-01 4.803195077709896399e-01 5.011824311016613853e-01 4.244157310836258468e-01
9.813333153724670410e-01 5.165888320750595675e-01 5.100158730888318948e-01 4.836540091543626296e-01
9.836666584014892578e-01 5.454640282097176218e-01 5.180964679232077374e-01 5.378064727429487935e-01
9.860000014305114746e-01 5.692556681189135936e-01 5.255772568802707934e-01 5.881771542132839814e-01
9.883333444595336914e-01 5.893549131086603943e-01 5.325618482634608686e-01 6.355961788011222913e-01
9.906666874885559082e-01 6.066631408973859330e-01 5.391284833563890766e-01 6.806193319628439653e-01
9.929999709129333496e-01 6.217954619400501981e-01 5.453350150087538095e-01 7.236470614429646453e-01
9.953333139419555664e-01 6.351927220338651203e-01 5.512352384430400098e-01 7.649424490811228550e-01
9.976666569709777832e-01 6.471747360901803914e-01 5.568604212573355916e-01 8.047576824802853412e-01
1.000000000000000000e+00 6.579843774788178834e-01 5.622401002213739396e-01 8.432639652162710053e-01
1.000000000000000000e+00 6.579843774788182165e-01 5.622401002213739396e-01 8.432639652162710053e-01
1.016666650772094727e+00 7.134578993934548308e-01 5.952411091406814014e-01 1.090573065288132693e+00
1.033333301544189453e+00 7.483863512174038224e-01 6.218538349101702112e-01 1.304504008126049497e+00
1.049999952316284180e+00 7.733979438842690790e-01 6.444617512167782891e-01 1.496072847590649069e+00
1.066666722297668457e+00 7.926470996889498632e-01 6.641317765070782198e-01 1.670862379808956799e+00
1.083333373069763184e+00 8.082099034389154113e-01 6.816134720503278510e-01 1.831755925556626918e+00
1.100000023841857910e+00 8.212595055190823334e-01 6.974317030341761203e-01 1.980088209604059957e+00
1.116666674613952637e+00 8.324406504014139063e-01 7.118113217050288100e-01 2.118260771572555434e+00
1.133333325386047363e+00 8.422874870590493224e-01 7.251575678943971148e-01 2.245328176976474133e+00
1.149999976158142090e+00 8.509934235096306976e-01 7.374252177927204110e-01 2.364370005452297363e+00
1.166666626930236816e+00 8.587924429819978611e-01 7.487877132057745300e-01 2.475643176072801044e+00
1.183333277702331543e+00 8.658339393701137698e-01 7.593369753642221776e-01 2.580177895317916636e+00
1.200000047683715820e+00 8.722373572898691751e-01 7.691621302374513913e-01 2.678584329273415943e+00
