# hx E0 deltaE VOP EOP
7.500000000000000000e-01 -1.146464791542299411e+00 1.305110571311800709e-05 1.085971754816070585e-09 8.529145167912588477e-09
7.757142857142856895e-01 -1.157212030040405626e+00 1.842831893413649988e-05 5.186907105958613416e-12 6.256148377126180549e-12
8.014285714285714901e-01 -1.168414261541184773e+00 2.599173988035021968e-05 3.166786679387634881e-08 -1.151269095056584035e-07
8.271428571428571797e-01 -1.180086717607525149e+00 3.668786970896370378e-05 3.233755336770552918e-10 -5.363105931577294427e-10
8.528571428571428692e-01 -1.192247022252396205e+00 5.194502516246389399e-05 5.438954370732158185e-09 8.576190604903111137e-09
8.785714285714285587e-01 -1.204915828065618033e+00 7.398995924429997131e-05 1.027436495323121687e-09 5.534625424630235102e-09
9.042857142857143593e-01 -1.218117720599567022e+00 1.064509862578918688e-04 3.784859887964808042e-15 -6.350475700855895411e-14
9.300000000000000488e-01 -1.231882556603290491e+00 1.556227208249044941e-04 9.198426916461942530e-10 1.891725276426114988e-09
9.300000000000000488e-01 -1.231882556603293821e+00 1.556227208222011986e-04 1.554300157057386312e-08 -1.311328784447951534e-07
9.323333333333333472e-01 -1.233160658498338114e+00 1.612542688555014992e-04 2.668293360063695566e-09 -4.679262533002770397e-11
9.346666666666667567e-01 -1.234443726243933837e+00 1.671261894823520622e-04 7.808414764595102487e-09 1.044572154329515001e-07
9.370000000000000551e-01 -1.235731791953540215e+00 1.732516930460702381e-04 1.107024730656071476e-10 4.930119645862873767e-10
9.393333333333333535e-01 -1.237024888500635855e+00 1.796449731296686603e-04 1.762044621197656768e-08 9.379036365608772741e-08
9.416666666666666519e-01 -1.238323049548320398e+00 1.863213058675658473e-04 4.894114353808463255e-13 -4.479971948967431672e-12
9.440000000000000613e-01 -1.239626309580589947e+00 1.932971632093320789e-04 8.312684449569424216e-10 2.248932484683052735e-09
9.463333333333333597e-01 -1.240934703935290040e+00 2.005903410783594059e-04 1.873377415501065649e-09 1.159748889978384767e-08
9.486666666666666581e-01 -1.242248268839012848e+00 2.082201067435589606e-04 1.399757366069627706e-08 -1.320604606780406698e-07
9.510000000000000675e-01 -1.243567041444018528e+00 2.162073677288854807e-04 6.257543848646319621e-09 3.274003623765509019e-09
9.533333333333333659e-01 -1.244891059867337280e+00 2.245748676565770469e-04 1.029352363389311653e-08 1.025046031943865898e-07
9.556666666666666643e-01 -1.246220363232197093e+00 2.333474133437384013e-04 2.456861140920677917e-09 2.593513315218842763e-08
9.580000000000000737e-01 -1.247554991712032546e+00 2.425521407260251437e-04 1.372638440860694049e-09 -1.739427257785308711e-08
9.603333333333333721e-01 -1.248894986577217425e+00 2.522188285293318019e-04 1.392397563426126167e-10 6.842187927347254117e-11
9.626666666666666705e-01 -1.250240390244722111e+00 2.623802703582325379e-04 1.983317698897625469e-10 1.592724285792712635e-10
9.650000000000000799e-01 -1.251591246331073659e+00 2.730727192450039045e-04 1.128656911164809306e-07 -1.234586925469294272e-06
9.673333333333333783e-01 -1.252947599708688520e+00 2.843364278687701956e-04 6.070177120474655067e-09 -1.009640382410026405e-07
9.696666666666666767e-01 -1.254309496566052839e+00 2.962163055249100296e-04 9.918951777100682846e-08 1.139093767255072720e-06
9.719999999999999751e-01 -1.255679398897725063e+00 3.068405194460815900e-04 2.355379594109425351e-02 2.544872034322904208e-01
9.743333333333333846e-01 -1.257065361769556411e+00 3.099054545163728029e-04 3.861807437456425685e-02 3.797401114062863847e-01
9.766666666666666829e-01 -1.258466053377106819e+00 3.066014905222899829e-04 4.969330915805724586e-02 4.521667982608119640e-01
9.789999999999999813e-01 -1.259879929057382109e+00 2.982939314273266905e-04 5.903973487705020673e-02 5.026686096110101198e-01
9.813333333333333908e-01 -1.261305872615801293e+00 2.860160400176140535e-04 6.735934040325791683e-02 5.409741933661371682e-01
9.836666666666666892e-01 -1.262743024381153489e+00 2.706102028525891770e-04 7.497839560401410586e-02 5.715234880062314282e-01
9.859999999999999876e-01 -1.264190693159704226e+00 2.528031415895666892e-04 8.207946056601453377e-02 5.967266246807795271e-01
9.883333333333332860e-01 -1.265648305698187981e+00 2.332531559236018001e-04 8.877667701755995178e-02 6.180376712098025749e-01
9.906666666666666954e-01 -1.267115375267227062e+00 2.125857638250412197e-04 9.514692133486402081e-02 6.363998798070216179e-01
9.929999999999999938e-01 -1.268591480938538574e+00 1.914282453183217792e-04 1.012457633596105661e-01 6.524555096836619494e-01
9.953333333333332922e-01 -1.270076253273690670e+00 1.704584736362509199e-04 1.071129312762784946e-01 6.666673578341266726e-01
9.976666666666667016e-01 -1.271569364071241548e+00 1.505286968098274824e-04 1.127794273712233314e-01 6.793740643274748248e-01
1.000000000000000000e+00 -1.273070518797392747e+00 1.330656179007290104e-04 1.182695021019810472e-01 6.908320244518977304e-01
1.000000000000000000e+00 -1.273070518797394080e+00 1.330656178996826469e-04 1.182695021020094689e-01 6.908320244519501330e-01
1.016666666666666607e+00 -1.284006126424015681e+00 7.233151128034214254e-05 1.537062381809526646e-01 7.494280817373293324e-01
1.033333333333333215e+00 -1.295269879886193021e+00 4.601755599643859675e-05 1.846718259393613226e-01 7.858784643477787490e-01
1.050000000000000044e+00 -1.306815518435884282e+00 3.133613825914884624e-05 2.126945897145755826e-01 8.115127715664165464e-01
1.066666666666666652e+00 -1.318609890637604032e+00 2.226944224587291786e-05 2.385468878238144741e-01 8.308558487673349813e-01
1.083333333333333259e+00 -1.330627449438533505e+00 1.631390513052156685e-05 2.626590920826143427e-01 8.461734522487388555e-01
1.100000000000000089e+00 -1.342847598260409336e+00 1.223092172143301721e-05 2.853238438674267630e-01 8.587155192559029482e-01
1.116666666666666696e+00 -1.355253213812040780e+00 9.340767162610083625e-06 3.067418604050544118e-01 8.692499830954273365e-01
1.133333333333333304e+00 -1.367829741169493074e+00 7.242996768360428687e-06 3.270581253441767200e-01 8.782787388824120356e-01
1.149999999999999911e+00 -1.380564599830272909e+00 5.689031554447256247e-06 3.463881751880906745e-01 8.861401268254979202e-01
1.166666666666666519e+00 -1.393446773000745154e+00 4.518189805043039830e-06 3.648198104414541731e-01 8.930773887784873022e-01
1.183333333333333348e+00 -1.406466511751549575e+00 3.623181151092420839e-06 3.824575594584873617e-01 8.992439529658404762e-01
1.199999999999999956e+00 -1.419615114808105982e+00 2.930426635694772090e-06 3.993039919436169871e-01 9.048166887852303608e-01
