
# hx XI XX VOP
7.500000000000000000e-01 -2.919719792025493132e-07 1.355003927884968970e-02 4.093609927812447937e-06
7.691666483879089355e-01 -8.444086412013963991e-07 1.776385295205312742e-02 1.108078040209553655e-05
7.883333563804626465e-01 3.241629729195225179e-06 2.357955492310747150e-02 3.898071555009162783e-05
8.075000047683715820e-01 1.504079061669848783e-06 3.094245804520160889e-02 1.657013057326812893e-05
8.266666531562805176e-01 -7.263258305339021585e-07 8.864032802114821252e-02 5.420964332656557322e-06
8.458333611488342285e-01 7.519507776844299576e-07 -3.095416899839644187e-01 4.619230436171559368e-06
8.650000095367431641e-01 -3.852634777809600463e-07 1.595449286345654860e-01 1.975727404072454646e-06
8.841666579246520996e-01 4.690976420866354906e-07 6.711178260233807702e-02 2.833572094173560922e-06
9.033333063125610352e-01 -3.809304567227583612e-07 2.152968173921077644e-01 3.199773000744539150e-06
9.225000143051147461e-01 7.850853109823686736e-07 2.302234277330099388e-01 5.926629021804567229e-06
9.416666626930236816e-01 -8.030098050533972443e-07 2.716299955777130570e-01 4.723956728719131554e-06
9.608333110809326172e-01 6.294372941539349317e-07 3.365180377229393116e-01 2.728066175546461603e-06
9.800000190734863281e-01 2.509108465134469806e-07 -2.845142949229264584e-01 7.042342175575439770e-07
9.800000190734863281e-01 -2.666833103431201119e-06 4.520547904067107603e-01 7.042336460258745713e-06
9.815000295639038086e-01 -5.294846498180274456e-07 4.882520082953073493e-01 1.412851793891886725e-06
9.829999804496765137e-01 7.202115724495421008e-06 4.758567654919182988e-01 1.704506268875200330e-05
9.844999909400939941e-01 2.243007632580038109e-06 4.904821094627550004e-01 4.995162942400395526e-06
9.860000014305114746e-01 1.031032481081903363e-06 5.018620979220911327e-01 2.147576555518965402e-06
9.875000119209289551e-01 -4.080174284363560745e-06 5.164918432574050478e-01 7.900798638035975345e-06
9.890000224113464355e-01 1.134244612402374916e-05 5.325939779307863331e-01 2.034517610501433230e-05
9.904999732971191406e-01 1.127837363345384687e-05 5.508320869704826928e-01 1.862781124961573558e-05
9.919999837875366211e-01 2.075119003875762027e-06 5.587345084684768315e-01 3.105553211992933697e-06
9.934999942779541016e-01 1.126871465243328318e-06 4.835221071910180690e-01 1.571808000170576278e-06
9.950000047683715820e-01 -1.252355238749442924e-05 5.949701030748473229e-01 1.503952979055032538e-05
9.965000152587890625e-01 6.242471200359765047e-06 6.150304706161427992e-01 6.475612452363697474e-06
9.980000257492065430e-01 3.806457397002976362e-01 6.587425916730287323e-01 3.985142941896686608e-01
9.994999766349792480e-01 6.739700636162084812e-01 7.196418539391736813e-01 1.129286034750093703e+00
1.001000046730041504e+00 7.486826456249364714e-01 7.508376142429133981e-01 1.579387897449667788e+00
1.002500057220458984e+00 7.883057080289466167e-01 7.703586669613016191e-01 1.949679360093429681e+00
1.003999948501586914e+00 8.140199865825947789e-01 7.846719142045217588e-01 2.279738690539678814e+00
1.005499958992004395e+00 8.324008298649274717e-01 7.952251450026416313e-01 2.583852978124267175e+00
1.006999969482421875e+00 8.466420045120220950e-01 8.054130635595487808e-01 2.860550607406416201e+00
1.008499979972839355e+00 8.575506738723777111e-01 8.116065647729894250e-01 3.130367687308889035e+00
1.009999990463256836e+00 8.666446812160341073e-01 8.180570436070974116e-01 3.384751376194802486e+00
1.011500000953674316e+00 8.725444686400182226e-01 8.170268238336679811e-01 3.543402511185207437e+00
1.013000011444091797e+00 8.799502482403120940e-01 8.256546286123312983e-01 3.779087035507894932e+00
1.014500021934509277e+00 8.859754215037645153e-01 8.318198829847094355e-01 3.993131021025431160e+00
1.016000032424926758e+00 8.945560316646946619e-01 8.504821656279299980e-01 3.966822061952008038e+00
1.017500042915344238e+00 8.968804423857259511e-01 8.455626470759578517e-01 4.143214859089805024e+00
1.019000053405761719e+00 8.968832011945331306e-01 8.455663416650167630e-01 4.143338671395003558e+00
1.020499944686889648e+00 8.968827768180918092e-01 8.455655659189037499e-01 4.143323040801936585e+00
1.021999955177307129e+00 9.020941066886241089e-01 8.393812279226642303e-01 3.623380994943941058e+00
1.023499965667724609e+00 8.993205094065391814e-01 8.289762167352111577e-01 2.588363203363125198e+00
1.024999976158142090e+00 9.007082297208236499e-01 8.292871330189004464e-01 2.326832295172143628e+00
1.024999976158142090e+00 9.005988029305211917e-01 8.290428836063942208e-01 2.310026018010969295e+00
1.039583325386047363e+00 9.149957550006925233e-01 8.453435178078303469e-01 1.555059074267120423e+00
1.054166674613952637e+00 9.237733666232970098e-01 8.576916306160108361e-01 1.381873821733202279e+00
1.068750023841857910e+00 9.319312314733966263e-01 8.709194908943735935e-01 1.382425141929793710e+00
1.083333373069763184e+00 9.329326458601358008e-01 8.716325599128945667e-01 1.437541950487204456e+00
1.097916722297668457e+00 9.450224180386639361e-01 8.935694196626389196e-01 1.253968943948788439e+00
1.112499952316284180e+00 9.427673564084966262e-01 8.892929848755219968e-01 8.594005112849643080e-01
1.127083301544189453e+00 9.396786316524450289e-01 8.836035229361520749e-01 7.998762451617579261e-01
1.141666650772094727e+00 9.516666513170272124e-01 9.100333313913996358e-01 4.312143444211966742e-03
1.156250000000000000e+00 9.581841169799666380e-01 9.271802069437407035e-01 1.170863276321066834e-02
1.170833349227905273e+00 9.640074372659894753e-01 9.372218638540873448e-01 1.054704002716670523e-02
1.185416698455810547e+00 9.597904486233350685e-01 9.342075481946352511e-01 1.136111544660834034e-02
1.200000047683715820e+00 9.614872928849463873e-01 9.348195487335254628e-01 1.260714254805966536e-02
